date,S15,S16,S17,S19,S3,S5,S1,S8,S7,S9,S11,S6,S10,S12,S2,S13
6/1/2020,0,0,0,0,1.9,0,0,0,8.7,0,0,1.4,0,0,0,0
6/2/2020,0,0,0,0,0,0,0,0,0,1.3,4.4,0,5.5,0,0,11.8
6/3/2020,0,24.3,12.4,2.1,0,0,0,0,0.8,50.2,11.8,1.4,0,0.6,0,0.6
6/4/2020,30.1,21.7,28.7,13.5,0.4,0,0,1.2,0.5,0,0.5,0.5,49.5,7.4,4.8,2.4
6/5/2020,0,0,0,0.4,19.8,20.5,0,0,0,0,0,0,2,0,0,1
6/6/2020,8,0,0.8,22.7,0.8,0.5,0,0,0,0,3.6,14.6,12.5,8.8,0.8,3
6/7/2020,10,23.2,9.4,6.6,18.8,5.4,23,1.1,2.1,5,12.3,5,8,6.6,13.3,0
6/8/2020,0,0,0,15,6.2,0.7,24.5,0,0,1.4,1.8,0,0.5,2,1,20
6/9/2020,0,2.7,0,3.5,0,0,2.1,0,0,0,0,0,0,4.8,0,0.2
6/10/2020,0.3,0,0,1.4,0,1.2,9.7,0,0.4,3.7,0,2.3,12,0.4,0,0
6/11/2020,0,0,0,0,0,0,9.4,0,0,0,0,0,0,0,0,0
6/12/2020,7.2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
6/13/2020,0,0,0,0,0,0,2.6,0,0,0,0,0,0,0,0,0
6/14/2020,8.7,0,24.4,4,0,0.5,19.8,2.6,3.4,0.2,0.2,32.3,2.2,1.4,1.5,0
6/15/2020,32,0,1.1,11,7.5,1.7,4.3,59.1,1.4,13,0,0,7,0,0,0
6/16/2020,0,0,0,4.2,2.7,6.8,3.5,0,0,5.8,0,9.7,1.5,1,9.6,0
6/17/2020,5.2,14.6,12.5,14,8,12,1.5,6.3,16.2,9.2,10,5,11,9.6,4.1,1.8
6/18/2020,3.8,0,1.4,2.5,9.3,8.2,1.4,4,4.9,3.5,16.2,6.2,12,11.6,4.4,10
6/19/2020,1.5,12.5,1.8,3.2,0.1,0.5,14.9,3,8,1.9,0,0.8,7.5,2.4,0,15
6/20/2020,0.4,0,0,4,0.4,0,50.2,2.9,0,0,0,0,1,0,0,0
6/21/2020,0,0,0,8,0,0,0,1.4,0,0,0,1.2,20.5,3.8,0,0
6/22/2020,0,0,0,0.3,1.6,1.1,0,0,0,0.7,0,13.2,27.8,0,0,0
6/23/2020,4,17.9,5.2,29.3,2.5,3.2,0,6.5,9.8,1.1,25.4,2,8.5,22,0,10
6/24/2020,0,0,0,0,0.3,0,0,0,6.1,4.2,1,5.4,18.4,0,0.6,12
6/25/2020,0.7,0,9.8,3.6,13.9,11.4,0,0,0.7,0.3,7.5,0,0.6,1.6,0,0.2
6/26/2020,73.3,72.9,33.4,19.9,18.5,19.5,38.2,60.1,38.1,101.7,12.4,16.7,24,3.2,60,1.8
6/27/2020,1.6,0,1.2,20,0.5,1.2,0,0,0.9,2.5,28.2,3,9.5,15.2,0,7
6/28/2020,0,0,0,0,0,0,0,0,0,0,0,0,3.8,0.2,0,0
6/29/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/30/2020,0,0,0,0,5.6,0,0,0,2.3,0,0,0,0,0,0,0
7/1/2020,16.1,26.2,0,0,0,3.2,3.6,0,3.1,0,0,15.2,0.5,9.2,0,0
7/2/2020,0,0,0,2.1,0,0,0,2.9,0,0,9.8,11.8,22,7,4.6,0
7/3/2020,1.9,0,0,8.5,6.9,4.8,6.5,0,0,5.2,0,0,1,0,0.4,3.7
7/4/2020,0,0,0,5.3,1.6,0,0,0,0,0,0,1.2,5.6,2,0,0.6
7/5/2020,0,0,4.9,2,0,0,0,0,0,0,0,1,15,2.6,11.7,0
7/6/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/7/2020,18.7,54.5,3.5,26.3,15.7,5.6,4.3,19.5,4.4,40.8,12.5,17.5,8,22.6,10,39.5
7/8/2020,6.8,0,4,4.9,0.2,4.5,0,1.5,0.9,0.4,3,5.9,4,2,0,11.9
7/9/2020,0,0,0,0.8,0,0,0,0,0,0,0,0,0.5,0.2,0,0
7/10/2020,0.4,0,0,1.7,0,0,0,0,0,0,0,0,0,0.4,1.7,0
7/11/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/12/2020,34.9,96.5,19.2,11.4,14,33,46.5,37,36.2,7.3,0,19.7,12.2,8.5,64.4,40
7/13/2020,1.2,0,0,3.5,2.7,3,14.5,0,7.3,1.9,6.2,23.8,31.5,0.2,24.8,2.9
7/14/2020,0,0,0,19.5,0.2,1,2.3,0,0,0,0,0,6.5,3,0,0
7/15/2020,0,0,0,2.5,0,0,6.7,0,0.7,0,0,0,45,20.2,0,0
7/16/2020,3.1,0,0,8.9,3.2,1.2,0,0,0,0.2,0,0,11.5,0.5,0,6.5
7/17/2020,22.5,68.6,31.5,11,57.3,40.5,30.7,28,23.6,48.5,0,22,49.5,6.2,9.8,0
7/18/2020,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,3,0
7/19/2020,0,0,0,5.2,5.4,0,0,3.9,1.3,0,0,4.5,10,11.8,0.5,0
7/20/2020,1,47.5,7,0,0.5,1,4.9,11.9,11.9,0.3,0,14.4,0.4,0.2,0,0
7/21/2020,0,0,0,0,16.6,0,3.8,0,5.1,2.3,9.4,0.9,16.2,3.8,0.6,0
7/22/2020,1.2,0,0,20.9,0.6,0,6.5,0,0.5,0,0,0,29,0,1.8,65.7
7/23/2020,0,0,0,3.3,0,9.8,0,0,6.9,0,0,0,0,0,4,0
7/24/2020,0,0,0,8.3,0,0,0,0,0,0,0,0,0.5,1,0,0
7/25/2020,0,0,0,3.9,0,0,0,0,0,0,0,11.9,0,4.4,0,0
7/26/2020,0,0,0,1.5,0,1.1,0,0,0,0,0,0,0,20.4,0,0
7/27/2020,30.5,77.3,15.8,26.2,55.8,32.3,0,20,13.8,12.6,0,45.5,6,25,8.5,0
7/28/2020,0.4,0,0,65.8,3.6,3.5,0,0,6.2,0,0,1.2,5,34.5,3.8,0.9
7/29/2020,0.2,0,1.8,3.4,0,0,17.5,0,0,0,0,15.5,2.5,4.6,2.7,2.5
7/30/2020,0,0,0,0,0,4.3,2.4,6.5,0.7,0.2,0,0,0,0.5,1.5,0
7/31/2020,0,0,0,0,0,5.7,0,0,0,5.1,0,0,0,2,0,0
8/1/2020,0,0,0,0.6,8,2.1,0,0,0,0,0,0,0,0,0,0
8/2/2020,130,111.6,41.2,12.1,24,18.3,20.2,123.7,109.5,88.6,18.2,31.5,15,29.3,24.3,19.4
8/3/2020,81.5,41.2,26.4,32.9,86.9,45.3,44.5,69,37.4,18.5,8,36,12,6,79,14.5
8/4/2020,27,0,2.9,38.6,15,4.8,11.2,28.2,37.2,12.7,58.5,20.2,2.5,6.2,9.6,23
8/5/2020,1.3,0,0,16.2,31.5,24.7,3.6,1.3,0.6,1.2,0,3,7.2,5.5,6.7,2.6
8/6/2020,0,0,0,0,0,2.4,42.8,0,0,0,0,3,7,0.2,1.4,0
8/7/2020,18.2,0,0,20,5.3,8.4,25.9,10,15.9,43.8,0,0,10.2,6,27.9,19.3
8/8/2020,20.3,0,0,34.1,0.8,4.1,0,14.6,10.4,16.2,0,11,16,0.2,12.8,0.8
8/9/2020,0,17.3,21.5,9.7,27.5,7,0,0,2.2,0,0,0,6.5,0.4,0.3,0
8/10/2020,0,0,0,3.5,0,1.1,8.8,0,0,0,0,0,0,0.4,0,6.6
8/11/2020,1.5,0,0,4.2,14.3,34.7,8,0.5,1.5,12.2,0,7.4,1.5,4.2,17,1
8/12/2020,2.3,17.9,0,0,0.3,21.2,1.7,6,11.6,2.3,0,7,0.5,11.2,3.6,0
8/13/2020,20.8,20.8,14.5,15.7,2,18,12.4,29.3,21.7,11.8,0,7.5,17.5,2,5.4,0
