date,P.92,P.93,P.80,P.65,P.64,P.67,P.1,P.82,P.84,P.81,P.75,P.103,P.20,P.21
6/1/2020,2.04,0.44,0.08,2.07,2,6,6.64,1.65,1.12,0.11,1.4,8.04,0.22,0.1
6/2/2020,2.28,0.44,0.25,1.05,1.3,7.3,6.64,1.44,1.12,0.02,1.1,8.16,0.22,0.13
6/3/2020,2.31,0.38,0.25,1.05,1.3,6,5.92,1.37,1.12,0.02,0.8,7.4,0.2,0.11
6/4/2020,2.31,0.38,0.25,1.1,1.3,5.12,2.8,1.37,1.12,0.02,0.8,4.81,0.2,0.11
6/5/2020,2.28,0.44,2.54,1.1,1.3,8.34,2.6,2,1.12,0.02,12.66,4.54,0.28,0.45
6/6/2020,10.33,0.4,1.15,1.1,2.9,13.58,7.52,1.86,1.12,0.02,1.4,9.48,0.38,0.18
6/7/2020,8.9,0.56,0.35,1.2,2.6,12.22,6.4,3.2,6.6,0.02,1.4,8.04,0.3,0.23
6/8/2020,10.55,0.68,0.35,1.25,1.55,10.68,6.28,2,1.54,0.02,1.3,8.28,0.26,0.2
6/9/2020,10.33,0.68,0.4,1.35,2.15,12.9,7.26,2.14,1.24,0.02,1.2,9.24,0.18,0.2
6/10/2020,10.22,0.38,0.35,1.45,1.45,10.68,7.13,1.86,1.36,0.02,1.2,8.88,0.18,0.19
6/11/2020,9.3,0.48,0.25,1.8,1.45,9.12,6.64,1.72,1.24,0.02,1.1,8.52,0.16,0.22
6/12/2020,9.2,0.44,0.25,1.2,1.8,7.82,7.65,1.65,1.24,0.02,0.8,9.36,0.22,0.2
6/13/2020,9.2,0.38,0.2,1.1,1.75,7.56,8.45,1.51,1.12,0.02,0.8,10.2,0.19,0.14
6/14/2020,9.1,0.34,0.2,1,1.75,6,7.39,1.51,1.12,0.02,0.8,8.88,0.18,0.12
6/15/2020,8.2,0.28,0.2,1.95,1.75,4.68,8.6,2.14,1.12,0.02,0.7,10.2,0.28,0.14
6/16/2020,10.33,0.34,0.2,3.78,1.3,1.2,7.26,2.14,1.12,0.02,1.2,8.76,0.2,0.22
6/17/2020,10.88,0.28,0.15,5.24,1.25,1.68,2.2,2,1.12,0.02,0.9,3.92,0.26,0.17
6/18/2020,10,0.44,0.15,3.64,3.05,1.44,1.8,1.79,1.54,0.02,1.2,3.52,0.26,0.22
6/19/2020,9.7,0.44,0.15,3.5,2.15,1.44,1.73,1.79,1.24,0.02,1.2,3.52,0.26,0.25
6/20/2020,9.7,0.76,1.15,3.5,2,1.08,1.8,3.1,1.36,0.02,1.2,3.6,0.2,0.28
6/21/2020,10,0.44,0.35,2.55,2,1.68,1.8,2,1.54,0.02,12.66,3.52,0.2,0.46
6/22/2020,9.8,0.44,0.25,1.1,1.75,3.8,4.84,1.79,1.42,0.02,2.93,6.8,0.2,0.46
6/23/2020,9.2,0.44,0.25,0.95,3.05,1.92,4.72,2.42,1.24,0.02,2.93,6.7,0.19,0.27
6/24/2020,9,1,0.25,1.15,2.3,1.68,4.2,2.42,1.24,0.02,1.98,5.9,0.2,0.23
6/25/2020,8.8,1.54,0.25,1.15,1.95,1.56,4.5,2.28,1.42,0.02,1.1,6.2,0.2,0.48
6/26/2020,8.4,1.6,0.25,1.3,1.75,3.8,4.4,2,1.3,0.02,1.1,6.1,0.2,0.36
6/27/2020,8.6,0.9,1.15,2.01,1.75,3.38,5.08,2,1.96,0.02,1.3,6.7,0.42,0.48
6/28/2020,12.32,0.85,0.6,1.75,1.75,3.38,7.52,17.45,1.72,0.02,2.36,7.7,0.8,0.39
6/29/2020,9.3,0.76,0.5,1.9,1.75,9.64,8.17,3.3,7.5,0.24,4.5,8.4,0.36,0.31
6/30/2020,9,0.76,0.4,1.85,1.7,3.52,6.16,2.56,1.36,0.24,2.93,6.4,0.32,0.33
7/1/2020,9.1,0.68,0.35,1.65,1.8,2.82,5.92,2.21,1.54,0.24,1.6,6.2,0.26,0.3
7/2/2020,9,0.68,0.35,1.45,1.8,1.68,5.08,2,1.24,0.24,2.17,5.35,0.24,0.27
7/3/2020,8.7,0.68,0.35,1.55,1.8,1.2,3.9,1.93,1.24,0.24,1.4,4.45,0.24,0.45
7/4/2020,8.5,0.72,0.6,1.65,1.8,0.96,3.1,2.21,1.24,0.24,5.25,3.84,0.4,0.4
7/5/2020,10.22,0.68,0.5,1.75,2,2.4,2.28,2.49,1.24,0.24,5.25,3.06,0.56,0.36
7/6/2020,10.22,0.72,0.5,1.8,2.45,2.96,2.2,2.21,1.24,0.24,5.75,3.13,0.24,0.48
7/7/2020,8.5,0.85,0.5,1.25,2.15,3.1,2.36,1.93,1.24,0.24,5,3.28,0.24,0.36
7/8/2020,11.1,1,16.1,1.65,9.5,3.38,2.6,2.21,1.24,0.11,1.98,3.6,0.3,0.32
7/9/2020,11.1,1.36,2.66,1.62,4.25,3.8,9.5,2.21,1.54,0.24,3.75,9.84,0.68,0.56
7/10/2020,10.22,1,2.3,1.614,2.15,7.56,8.45,2,1.54,0.24,4.75,8.76,0.44,0.44
7/11/2020,9.7,0.76,1.94,1.58,2,3.38,7.39,2,1.54,2.7,4.5,7.5,0.34,0.49
7/12/2020,9.2,0.76,1.94,1.54,2,2.28,8.17,1.86,1.24,2.2,2.74,8.04,0.3,0.45
7/13/2020,10.33,0.76,4.5,4.3,2,2.16,8.45,2,1.24,4.7,4,8.4,0.4,0.4
7/14/2020,12.56,2.44,1.48,4.23,3.95,7.56,7.52,2.63,1.24,3.2,4,8.04,0.52,0.58
7/15/2020,13.4,4.29,2.3,3.43,4.4,20.28,7.52,3,1.24,1.7,4.8,8.76,0.72,1.5
7/16/2020,12.2,2.44,1.15,2.73,2.3,11.2,6.4,2.8,1.24,3.7,5.2,7.4,0.44,2.22
7/17/2020,13.88,2.32,1.15,2.73,4.4,5.2,6.04,2.8,1.24,3.7,4.2,6.7,0.4,1.62
7/18/2020,17.85,21.66,18.5,5.16,5,12.04,4.96,2.8,1.24,5.7,5.4,5.9,0.54,4
7/19/2020,9.8,5.22,2.54,2.43,2.15,21.44,12.65,2.49,1.18,7.8,6.9,17.44,0.6,8.16
7/20/2020,10,3.73,1.48,2.19,2,13.8,6.76,2.7,1.24,9.3,5,9.72,0.48,3.92
7/21/2020,9,4.43,7.8,1.95,1.95,8.8,5.2,3.2,1.24,7.2,4.2,7.4,0.4,6.7
7/22/2020,8,2.56,2.3,1.95,1.85,7,6.64,3.2,1.84,7.8,3.8,9.36,0.38,3.2
7/23/2020,9,4.43,1.48,1.95,1.8,6.46,5.56,3.1,2.32,7.8,3.8,7.7,0.38,0.7
7/24/2020,8.4,2.44,1.26,2.01,2.6,4.72,4,2.35,1.84,7.2,3.4,6.4,0.36,0.59
7/25/2020,8.2,1.84,1.15,2.01,15.4,3.92,6.28,2.21,1.54,5.7,3.4,7.6,0.32,0.35
7/26/2020,8.2,1.25,0.93,2.01,2.3,2.48,6.4,2.63,1.54,4.7,3.25,7.7,0.32,0.35
7/27/2020,8.3,0.76,1.15,2.01,2,2,5.32,2.14,1.54,2.7,6.9,6.8,0.3,0.27
7/28/2020,11.1,7.9,35.15,2.01,1.95,6.82,5.68,2.8,1.54,3.2,5.7,7.7,0.3,0.99
7/29/2020,10,7,2.66,3.15,5,11.68,8.9,6.35,9.28,13.8,4.2,13.94,0.3,2.1
7/30/2020,10.33,7.9,1.7,2.85,2.3,7,6.16,3.96,1.54,16.19,4.2,9.96,0.36,1.96
7/31/2020,9,2.44,2.3,2.85,2,5.38,4.5,2.9,1.54,13.8,3.8,7.3,0.36,0.61
8/1/2020,9.3,3.65,2.3,2.85,1.95,4.4,5.2,2.63,1.54,9.3,4.8,7,3.7,1.44
8/2/2020,8.5,1.25,1.26,2.85,1.9,3.28,3.1,2.63,1.54,7.8,4,5.26,4.1,1
8/3/2020,14.12,3.04,8.2,4.92,2,16,6.28,3.2,1.78,61.83,4.2,16,7.9,6
8/4/2020,23.2,20.26,9.3,9.3,7.1,171.8,15.2,5.45,4.72,92.04,68.7,129.3,51.3,20.6
8/5/2020,44,10.09,3.22,8,18.2,172.9,194.5,7.69,10.84,85.98,88.13,187,25.8,10.32
8/6/2020,38.4,23.06,2.3,6.84,10.4,150.15,139.3,5.6,5.6,66.24,64.5,153.8,21,14.85
8/7/2020,20.2,8.99,2.06,5.4,5.9,79.65,94,3.96,1.66,46.32,40.15,113.9,15.5,9.12
8/8/2020,35.8,8.99,1.7,7.8,10.4,66.05,63.4,5.45,1.54,35.36,31.25,77.6,13.6,7.8
8/9/2020,38.4,8.99,2.06,5.85,5.3,65.2,70.6,6.5,5.12,33.55,28.7,86.6,17,6.8
8/10/2020,13,8.99,1.7,4.5,4.4,54,61.6,4.61,2.32,24,32.95,78.8,14,6.6
8/11/2020,8.05,4.43,1.48,3.5,4.55,34,46.3,3.7,1.54,17.04,18.65,58.7,11.6,3.76
8/12/2020,7.6,3.73,1.48,3.5,5.6,25.25,30,3.4,1.54,12.3,30.83,28,10.4,4.99
8/13/2020,4.9,6.02,1.7,3.22,5.9,21.15,41.1,3.4,1.54,12.3,16.16,41.6,8.8,5.26
8/14/2020,4,6.91,2.3,4.68,5,16.1,32,3.83,1.66,24.4,10.5,29.2,8.8,5.8
8/15/2020,17.2,12.98,2.66,3.85,4.7,50.25,51.5,4.09,3.92,30.85,24.2,63,16.5,12.98
8/16/2020,12.55,10.66,2.66,3.85,6.5,45.75,58,3.96,1.84,30.18,21,74,12,11.53
8/17/2020,6.7,8.06,2.66,3.29,6.2,25.25,45,3.3,1.54,22.4,14.03,49.6,10.4,5.26
8/18/2020,5.8,8.92,1.7,3.22,5,16.48,32,3.4,0.96,18.76,11.9,28.6,8.8,4.09
8/19/2020,5.8,9.5,2.66,3.15,4.4,16.86,27,3.3,0.92,16.53,11.2,24,8.5,2.88
8/20/2020,4.45,10.02,1.7,2.97,4.25,16.1,27,3.3,0.92,13.8,9.1,22,7.3,2.64
8/21/2020,5.8,9.43,51.3,5.6,4.1,16.1,27,3.2,1.54,12.3,8.75,19,9.7,2.28
8/22/2020,47.5,9.19,14.9,6.5,5,40.5,35.9,3.5,1.48,13.65,13.68,36.6,16.5,4.09
8/23/2020,101.1,8.41,5.35,8.6,4.1,121.3,88.6,8.92,7.6,38.81,27.85,109.7,27,6.8
8/24/2020,48.2,7.51,3.7,10.5,10.25,142.8,162.7,7.35,10.48,36.97,47.23,171.3,17,21.6
8/25/2020,37.7,7.51,2.9,6.3,16.2,94,110,5.6,5.6,26.44,27,125.1,15,10.8
8/26/2020,20.2,4.41,2.66,5.08,10.1,57.1,72.4,4.61,3.92,20.56,18.65,86.6,10.4,5.53
8/27/2020,14.2,4.41,4.5,5.67,8,36.6,47.6,3.83,3.12,15.34,12.61,62,8.8,3.6
8/28/2020,12.55,4.45,2.66,4.54,6.2,32.8,41.1,3.3,1.12,13.05,13.68,42.5,8.8,2.8
8/29/2020,8.95,4.45,2.66,3.43,4.85,25.8,34.6,2.9,1.12,9.3,11.2,32.4,7.3,1.92
8/30/2020,10.75,4.3,2.66,3.3,7.4,37.9,38.5,3.96,2.32,13.8,10.85,38,8.2,2.56
8/31/2020,7.15,3.2,2.66,3.09,6.2,20.7,31,3.6,1.18,13.05,9.1,24.5,7,1.92
9/1/2020,8.05,2,2.3,3.71,5.6,16.48,33.3,3.2,1.24,8.55,7.8,32.4,6.25,13.82
9/2/2020,8.95,2.5,2.3,3.15,4.85,24.15,32,3.4,1.24,10.65,16.16,32.4,6.75,5.17
9/3/2020,8.65,2.6,2.3,3.15,4.85,24.15,32,3.4,1.24,10.65,16.16,31.8,7.1,5.9
9/4/2020,8.7,2.4,2.3,3.15,4.85,24.15,33,3.4,1.24,10.65,12,30.3,6.8,6.7
9/5/2020,8.5,2.33,2.3,2.37,4.85,24.15,34,3.4,1.24,10.65,13,31.7,6.7,7.9
9/6/2020,8.5,2.5,2.3,2.37,4.85,17.27,35,3.4,1.24,10.65,10,31.6,6.8,6.4
9/7/2020,8.4,2.5,2.3,2.37,4.85,14.3,33,3.4,1.24,10.65,8,31.3,6.8,6.7
9/8/2020,8.5,2.44,2.06,2.55,3.8,12.3,35,3.4,1.24,10.65,7,31.2,6.8,6.9
9/9/2020,8.35,4.82,2.3,2.55,6.8,10.39,37.2,5.75,7.1,11.85,6.9,18,5.25,3.36
9/10/2020,16.8,3.73,2.3,3.15,9.8,15.72,38.5,4.09,1.78,16.02,8.1,29.8,6.5,4.63
9/11/2020,11.6,4.08,2.06,3.5,4.7,15.72,28,3.6,1.54,13.2,5.7,21.5,5.75,3.68
9/12/2020,9.55,8.44,2.06,3.64,10.1,10.12,19,4.22,3.76,9.3,4.8,13.2,5.25,2.56
9/13/2020,16.8,7.9,2.06,2.25,13.4,9.04,16,5.3,1.72,6.7,8.4,10.2,8.2,3.92
9/14/2020,9.85,4.43,2.06,5.94,10.7,15.72,27,3.6,1.24,6.1,11.55,21,6.5,2.4
9/15/2020,9.55,4.43,1.48,3.5,7.7,9.85,19,3.3,1.54,6,7.8,12.9,6.75,2.4
9/16/2020,14.8,6.02,1.48,3.64,11.4,9.85,23,3.83,0.96,6.7,7.2,14.4,5.25,6.2
